,exchange,fsym,tsym,start,end
2,ABCC,ELF,ETH,1533081600,1543276800
3,ABCC,ELF,BTC,1533081600,1553558400
9,ABCC,TRX,ETH,1544054400,1553385600
11,ABCC,TRX,USDT,1572480000,1577664000
14,ABCC,MBN,BTC,1571443200,1575072000
19,ABCC,GRIN,USDT,1575504000,1578268800
20,ABCC,GRIN,BTC,1578268800,1578700800
21,ABCC,GNT,ETH,1526083200,1551225600
22,ABCC,GNT,BTC,1526083200,1538870400
23,ABCC,ADA,ETH,1531958400,1555027200
24,ABCC,ADA,BTC,1531958400,1536969600
25,ABCC,ADA,USDT,1531958400,1534377600
26,ABCC,FUN,BTC,1525824000,1541203200
27,ABCC,FUN,ETH,1525824000,1533427200
28,ABCC,BAT,ETH,1526169600,1541548800
29,ABCC,BAT,BTC,1526169600,1541548800
31,ABCC,WAVES,USDT,1571788800,1572220800
33,ABCC,CSM,BTC,1572134400,1572739200
36,ABCC,QTUM,ETH,1525392000,1532995200
37,ABCC,QTUM,BTC,1525392000,1540771200
38,ABCC,REP,ETH,1527811200,1540598400
39,ABCC,REP,BTC,1527724800,1535328000
40,ABCC,LTC,BTC,1524182400,1534377600
41,ABCC,LTC,ETH,1524528000,1537315200
43,ABCC,VENA,USDT,1572480000,1573516800
45,ABCC,DIO,ETH,1573171200,1574726400
46,ABCC,DIO,BTC,1572393600,1573430400
50,ABCC,EOS,BTC,1525478400,1538265600
51,ABCC,EOS,ETH,1525824000,1551225600
54,ABCC,OMG,ETH,1525564800,1551225600
55,ABCC,OMG,BTC,1525564800,1535760000
56,ABCC,XSN,BTC,1572480000,1572480000
58,ABCC,DASH,ETH,1525564800,1551225600
59,ABCC,DASH,BTC,1525564800,1540944000
60,ABCC,BTT,USDT,1571702400,1574553600
66,ABCC,LAMB,BTC,1572566400,1572566400
72,ABCC,SNT,ETH,1533081600,1553558400
73,ABCC,SNT,BTC,1533081600,1540684800
77,ABCC,BCH,USDT,1529366400,1534377600
78,ABCC,BCH,BTC,1525392000,1532995200
79,ABCC,BCH,ETH,1525392000,1543363200
82,ABCC,IOST,BTC,1533081600,1553558400
83,ABCC,IOST,ETH,1533081600,1553817600
84,ABCC,ETH,BTC,1524441600,1532044800
85,ABCC,ETH,USDT,1524528000,1532131200
86,ABCC,MCO,BTC,1533081600,1540684800
87,ABCC,MCO,ETH,1533081600,1553817600
88,ABCC,XLM,BTC,1534291200,1536710400
89,ABCC,XLM,ETH,1534291200,1553817600
98,ABCC,ZEC,ETH,1544745600,1554940800
99,ABCC,ETC,BTC,1526083200,1533686400
100,ABCC,ETC,ETH,1527206400,1551225600
107,ABCC,STORJ,BTC,1533686400,1538697600
108,ABCC,STORJ,ETH,1533686400,1553817600
111,ABCC,XDCE,ETH,1574812800,1574985600
114,ABCC,XRP,BTC,1525478400,1533081600
116,ABCC,ZRX,ETH,1525824000,1551225600
117,ABCC,ZRX,BTC,1525824000,1536019200
118,ABCC,ZRX,USDT,1531958400,1534377600
119,ABCC,KNC,ETH,1533168000,1551225600
120,ABCC,KNC,BTC,1533081600,1538092800
122,ABCC,BEAM,BTC,1571356800,1571356800
123,ABCC,CRO,USDT,1575331200,1575417600
124,ABCC,TLOS,BTC,1572566400,1572652800
127,ABCC,CVC,ETH,1526083200,1533686400
128,ABCC,CVC,BTC,1527465600,1537660800
