,exchange,fsym,tsym,start,end
2140,BitTrex,BCH,BTC,1501545600,1581811200
2141,BitTrex,BCH,ETH,1501545600,1581811200
2142,BitTrex,BCH,USDT,1529539200,1581811200
2143,BitTrex,BCH,USD,1501545600,1581811200
2144,BitTrex,BSV,USDT,1571356800,1581811200
2145,BitTrex,BSV,ETH,1571356800,1581811200
2146,BitTrex,BSV,BTC,1571356800,1581811200
2147,BitTrex,BSV,USD,1571356800,1581811200
2158,BitTrex,ETC,BTC,1469059200,1581811200
2159,BitTrex,ETC,ETH,1469664000,1581811200
2160,BitTrex,ETC,USDT,1522972800,1581811200
2161,BitTrex,ETC,USD,1571356800,1581811200
2265,BitTrex,XMR,BTC,1422921600,1581811200
2267,BitTrex,XMR,ETH,1500595200,1581811200
2268,BitTrex,XMR,USDT,1571356800,1581811200
2293,BitTrex,XTZ,BTC,1576713600,1581811200
2294,BitTrex,XTZ,USD,1576713600,1581811200
2295,BitTrex,XTZ,ETH,1576972800,1581811200
2296,BitTrex,XTZ,USDT,1576886400,1581811200
2338,BitTrex,BTC,USD,1469145600,1581811200
2339,BitTrex,BTC,USDT,1449878400,1581811200
2455,BitTrex,ETH,USD,1492732800,1581811200
2456,BitTrex,ETH,BTC,1439510400,1581811200
2457,BitTrex,ETH,USDT,1522972800,1581811200
2542,BitTrex,XRP,BTC,1422921600,1581811200
2543,BitTrex,XRP,USD,1499990400,1581811200
2544,BitTrex,XRP,ETH,1571356800,1581811200
2545,BitTrex,XRP,USDT,1522972800,1581811200
2610,BitTrex,LINK,USDT,1581638400,1581811200
2611,BitTrex,LINK,USD,1581552000,1581811200
2612,BitTrex,LINK,ETH,1581552000,1581724800
2613,BitTrex,LINK,BTC,1576800000,1581811200
2714,BitTrex,LTC,USDT,1522972800,1581811200
2715,BitTrex,LTC,ETH,1498348800,1581811200
2716,BitTrex,LTC,USD,1499990400,1581811200
2717,BitTrex,LTC,BTC,1422921600,1581811200
3177,Bitfinex,ETC,USD,1571356800,1581811200
3178,Bitfinex,ETC,BTC,1469577600,1581811200
3255,Bitfinex,LTC,USD,1423353600,1581811200
3256,Bitfinex,LTC,USDT,1555113600,1581811200
3257,Bitfinex,LTC,BTC,1423440000,1581811200
3290,Bitfinex,XMR,BTC,1480464000,1581811200
3291,Bitfinex,XMR,USD,1571356800,1581811200
3292,Bitfinex,ETH,USDT,1552348800,1581811200
3293,Bitfinex,ETH,USD,1457481600,1581811200
3294,Bitfinex,ETH,BTC,1457481600,1581811200
3295,Bitfinex,ETH,EUR,1536105600,1581811200
3296,Bitfinex,ETH,GBP,1536105600,1581811200
3297,Bitfinex,ETH,JPY,1571356800,1581811200
3373,Bitfinex,BTC,JPY,1525824000,1581811200
3374,Bitfinex,BTC,USD,1423440000,1581811200
3375,Bitfinex,BTC,GBP,1525824000,1581811200
3376,Bitfinex,BTC,EUR,1511222400,1581811200
3377,Bitfinex,BTC,USDT,1552348800,1581811200
3378,Bitfinex,BTC,XCHF,1571356800,1581811200
3442,Bitfinex,XRP,USD,1495152000,1581811200
3443,Bitfinex,XRP,BTC,1495152000,1581811200
3446,Bitfinex,BCH,BTC,1501632000,1581811200
3447,Bitfinex,BCH,USD,1501632000,1581811200
3448,Bitfinex,BCH,ETH,1501632000,1542931200
3452,Bitfinex,XTZ,USD,1571356800,1581811200
3453,Bitfinex,XTZ,BTC,1571356800,1581811200
